iter	Passed	Remaining
0	2	2266
1	3	1901
2	5	1991
3	8	2012
4	10	2088
5	12	2112
6	14	2117
7	17	2131
8	19	2126
9	20	2026
10	22	2029
11	25	2119
12	28	2141
13	30	2138
14	31	2084
15	33	2085
16	37	2189
17	39	2178
18	41	2140
19	42	2106
20	44	2071
21	45	2018
22	46	1993
23	48	1965
24	50	1965
25	52	1952
26	53	1929
27	54	1906
28	56	1884
29	57	1856
30	58	1832
31	59	1809
32	61	1791
33	63	1798
34	64	1776
35	65	1760
36	67	1745
37	67	1718
38	68	1700
39	70	1693
40	72	1693
41	73	1685
42	75	1674
43	76	1658
44	77	1642
45	78	1628
46	80	1629
47	81	1611
48	82	1607
49	84	1600
50	85	1589
51	86	1580
52	88	1574
53	89	1573
54	93	1598
55	94	1600
56	96	1595
57	97	1587
58	98	1568
59	99	1563
60	101	1565
61	104	1585
62	106	1581
63	107	1574
64	108	1565
65	110	1559
66	111	1558
67	113	1550
68	114	1545
69	115	1538
70	117	1531
71	118	1523
72	119	1514
73	119	1498
74	120	1492
75	123	1495
76	124	1490
77	125	1481
78	126	1473
79	127	1468
80	128	1461
81	130	1458
82	131	1453
83	134	1466
84	136	1464
85	137	1459
86	138	1453
87	139	1446
88	140	1440
89	142	1442
90	143	1437
91	144	1431
92	146	1426
93	147	1421
94	148	1418
95	151	1424
96	152	1421
97	154	1418
98	155	1416
99	156	1409
100	157	1401
101	158	1396
102	160	1396
103	163	1409
104	165	1409
105	166	1404
106	167	1402
107	169	1400
108	171	1400
109	175	1418
110	177	1420
111	178	1416
112	179	1408
113	181	1409
114	182	1405
115	183	1400
116	185	1396
117	186	1392
118	187	1387
119	188	1384
120	189	1379
121	193	1392
122	194	1388
123	195	1380
124	196	1377
125	197	1367
126	198	1363
127	199	1358
128	201	1357
129	202	1353
130	205	1360
131	206	1357
132	207	1354
133	208	1349
134	209	1345
135	210	1337
136	212	1336
137	214	1337
138	217	1346
139	218	1342
140	219	1338
141	220	1334
142	221	1327
143	223	1325
144	224	1325
145	226	1324
146	227	1320
147	228	1316
148	229	1312
149	230	1308
150	232	1304
151	233	1302
152	234	1298
153	236	1297
154	237	1295
155	239	1293
156	240	1290
157	241	1286
158	241	1279
159	243	1278
160	245	1277
161	246	1274
162	247	1272
163	248	1267
164	249	1264
165	251	1261
166	252	1260
167	253	1257
168	255	1255
169	256	1253
170	258	1250
171	259	1248
172	260	1246
173	262	1245
174	265	1252
175	266	1249
176	268	1247
177	269	1245
178	270	1241
179	271	1238
180	273	1237
181	274	1233
182	281	1258
183	286	1269
184	289	1276
185	292	1280
186	295	1284
187	297	1285
188	300	1289
189	301	1287
190	303	1286
191	305	1286
192	307	1285
193	309	1284
194	310	1281
195	311	1278
196	312	1275
197	314	1273
198	317	1277
199	318	1274
200	319	1271
201	321	1269
202	322	1266
203	323	1264
204	325	1262
205	326	1257
206	327	1254
207	328	1251
208	329	1246
209	330	1243
210	331	1240
211	332	1236
212	333	1233
213	337	1238
214	338	1236
215	340	1234
216	340	1230
217	342	1227
218	343	1224
219	344	1222
220	346	1221
221	347	1217
222	348	1214
223	350	1212
224	351	1209
225	352	1205
226	353	1202
227	355	1202
228	356	1199
229	357	1197
230	359	1195
231	360	1192
232	361	1189
233	362	1186
234	363	1183
235	365	1181
236	366	1180
237	368	1178
238	369	1176
239	370	1173
240	371	1170
241	372	1168
242	374	1167
243	377	1170
244	378	1167
245	380	1165
246	381	1162
247	382	1160
248	383	1157
249	385	1157
250	387	1154
251	388	1154
252	389	1151
253	391	1148
254	391	1143
255	392	1141
256	394	1140
257	395	1138
258	397	1136
259	398	1133
260	399	1130
261	400	1128
262	401	1125
263	402	1123
264	404	1122
265	405	1120
266	407	1118
267	408	1115
268	409	1111
269	410	1109
270	411	1107
271	412	1104
272	414	1103
273	415	1100
274	416	1097
275	417	1095
276	418	1093
277	419	1090
278	420	1087
279	422	1085
280	424	1085
281	425	1082
282	426	1080
283	427	1078
284	428	1075
285	429	1073
286	431	1071
287	432	1070
288	434	1068
289	435	1066
290	436	1063
291	437	1061
292	438	1059
293	440	1056
294	441	1055
295	442	1053
296	444	1051
297	445	1050
298	447	1048
299	448	1046
300	449	1043
301	450	1041
302	452	1040
303	453	1037
304	456	1039
305	456	1035
306	457	1033
307	458	1030
308	459	1028
309	460	1026
310	462	1024
311	464	1023
312	465	1021
313	466	1019
314	467	1017
315	468	1014
316	470	1012
317	470	1009
318	471	1007
319	472	1004
320	476	1007
321	477	1004
322	478	1003
323	479	1001
324	481	999
325	482	997
326	484	997
327	488	1000
328	490	999
329	491	998
330	492	995
331	494	995
332	495	993
333	497	991
334	499	991
335	500	988
336	501	986
337	502	984
338	503	982
339	505	981
340	507	980
341	508	978
342	509	975
343	510	973
344	511	971
345	512	969
346	513	967
347	515	966
348	517	965
349	519	964
350	520	962
351	521	960
352	522	957
353	523	956
354	525	954
355	528	956
356	530	955
357	531	954
358	533	951
359	534	949
360	535	946
361	536	945
362	537	943
363	539	942
364	540	940
365	541	938
366	543	936
367	544	934
368	545	933
369	547	931
370	548	929
371	549	927
372	550	925
373	552	924
374	553	922
375	554	920
376	556	919
377	557	917
378	558	915
379	559	912
380	560	910
381	561	908
382	563	907
383	564	905
384	565	904
385	567	902
386	568	900
387	569	898
388	570	896
389	571	893
390	572	891
391	573	890
392	575	888
393	577	887
394	578	885
395	579	884
396	581	882
397	582	880
398	583	878
399	584	876
400	585	874
401	586	873
402	590	875
403	592	873
404	593	871
405	594	869
406	596	868
407	597	867
408	599	865
409	600	864
410	601	862
411	603	860
412	604	858
413	605	856
414	606	855
415	609	855
416	610	853
417	611	851
418	612	849
419	614	848
420	615	846
421	617	845
422	618	843
423	620	842
424	621	840
425	622	839
426	623	836
427	624	834
428	626	833
429	627	832
430	629	830
431	630	829
432	631	827
433	632	825
434	633	823
435	635	821
436	636	819
437	638	818
438	641	819
439	642	817
440	643	815
441	644	813
442	645	812
443	647	810
444	649	809
445	650	808
446	652	806
447	653	805
448	654	803
449	655	801
450	656	799
451	658	798
452	659	796
453	661	795
454	662	793
455	663	791
456	665	790
457	666	788
458	668	787
459	669	786
460	671	785
461	672	783
462	674	781
463	675	780
464	676	778
465	679	778
466	681	777
467	682	775
468	683	774
469	684	772
470	686	771
471	688	769
472	690	769
473	692	768
474	693	766
475	694	765
476	696	763
477	697	761
478	698	759
479	699	758
480	701	756
481	702	754
482	703	752
483	704	751
484	705	749
485	706	747
486	709	746
487	710	745
488	711	743
489	713	742
490	714	740
491	715	738
